year,bucket,n,long_short,long_minus_spy,spy,sample
2015,ALL,1476,0.052108630007899545,-0.05406865361929322,0.03935108760247852,IS
2015,Small,492,0.007065844562786479,-0.07454810935240272,0.03935108760247852,IS
2015,Mid,492,0.054271680980778614,-0.06952978295409351,0.03935108760247852,IS
2015,Large,492,0.06747119395485696,-0.04885034429118276,0.03935108760247852,IS
2016,ALL,1529,-0.052970933866718056,0.0545858950715353,0.17812704750705066,IS
2016,Small,510,-0.03621870207200817,0.05269607064977694,0.17812704750705066,IS
2016,Mid,509,-0.0654636934754646,0.06577507409762151,0.17812704750705066,IS
2016,Large,510,-0.009999869932715899,0.058905278901109026,0.17812704750705066,IS
2017,ALL,1624,-0.022046783740525433,0.015689603443736683,0.14333726409945236,IS
2017,Small,542,-0.024922719962420042,0.057975546016938856,0.14333726409945236,IS
2017,Mid,541,-0.0033126561516179376,0.019256112368158995,0.14333726409945236,IS
2017,Large,541,-0.039759470269109365,-0.04768385779333467,0.14333726409945236,IS
2018,ALL,1724,-0.08057210054893661,-0.14225736862489213,0.10101819169674053,IS
2018,Small,575,-0.12360320677593267,-0.1979594346812536,0.10101819169674053,IS
2018,Mid,574,-0.03325508722510491,-0.11989895076368016,0.10101819169674053,IS
2018,Large,575,-0.044876008247226304,-0.10953796425544506,0.10101819169674053,IS
2019,ALL,1809,-0.10739237150331431,-0.19718448517466675,0.07392748355722412,IS
2019,Small,603,-0.08933755235764348,-0.1440070359722928,0.07392748355722412,IS
2019,Mid,603,-0.1456774087076834,-0.23706858868097444,0.07392748355722412,IS
2019,Large,603,-0.036298484035898304,-0.20512465959775084,0.07392748355722412,IS
2020,ALL,1857,-0.060841108911690034,0.28323847949740266,0.41044454820667964,OOS
2020,Small,619,-0.06181711403428902,0.32802038650310306,0.41044454820667964,OOS
2020,Mid,619,-0.05969008973088419,0.32404541679158716,0.41044454820667964,OOS
2020,Large,619,-0.05354963022711323,0.21854625160848107,0.41044454820667964,OOS
2021,ALL,2106,0.17423108137374693,-0.00046072940904312576,-0.10710091000668442,OOS
2021,Small,702,0.2372982249266778,-0.056888074488133156,-0.10710091000668442,OOS
2021,Mid,702,0.16316120752174323,0.02500826479552594,-0.10710091000668442,OOS
2021,Large,702,0.11107075216520257,0.04391138000786743,-0.10710091000668442,OOS
2022,ALL,2270,0.043767789774166066,-0.08142987348113583,0.1949376875334632,OOS
2022,Small,757,0.06657825036103598,-0.1151559547423162,0.1949376875334632,OOS
2022,Mid,756,0.04792165379015956,-0.08307400065058641,0.1949376875334632,OOS
2022,Large,757,0.03325176813766828,-0.05352102547951132,0.1949376875334632,OOS
2023,ALL,2358,-0.007900998393992414,-0.15873651993211665,0.2454901952928763,OOS
2023,Small,786,-0.09456259578483958,-0.322101019620241,0.2454901952928763,OOS
2023,Mid,786,0.12102965480299727,-0.0343136933757954,0.2454901952928763,OOS
2023,Large,786,-0.03667519486970655,-0.1038103403895154,0.2454901952928763,OOS
2024,ALL,2397,-0.08989347789348309,-0.1129617866707863,0.14974413115740948,OOS
2024,Small,799,-0.05880737973238397,-0.16556531392284507,0.14974413115740948,OOS
2024,Mid,799,-0.13991482249822987,-0.1142653690996569,0.14974413115740948,OOS
2024,Large,799,-0.0719714666111434,-0.05728863174328244,0.14974413115740948,OOS
