form_year,hold,n,low_growth_ret,high_growth_ret,long_short,univ_mean,spy,low_minus_spy,sample
2014,2015-07..2016-06,351,0.06674891562759082,-0.03426799085771937,0.1010169064853102,0.07135254992126767,0.039351176713336766,0.027397738914254052,IS
2015,2016-07..2017-06,357,0.26352694547220257,0.27837823705936643,-0.014851291587163862,0.237654642066145,0.17812686076095874,0.08540008471124383,IS
2016,2017-07..2018-06,362,0.14912300508102294,0.25321584186017115,-0.10409283677914821,0.17095609452179733,0.14333734730468017,0.0057856577763427675,IS
2017,2018-07..2019-06,366,0.039182827375206154,0.15448616936816506,-0.11530334199295891,0.11293677402595777,0.10101844629876755,-0.061835618923561396,IS
2018,2019-07..2020-06,371,-0.028589657418596315,0.14058522344730118,-0.1691748808658975,0.011530884473464403,0.07392700397748309,-0.1025166613960794,IS
2019,2020-07..2021-06,378,0.6356305268778258,0.47529216480229325,0.1603383620755326,0.5308457834258183,0.4104445289232388,0.22518599795458705,OOS
2020,2021-07..2022-06,380,0.0007462951296312946,-0.15303781127993457,0.15378410640956586,-0.058994606134786326,-0.10710070553643436,0.10784700066606566,OOS
2021,2022-07..2023-06,382,0.21149646032646946,0.20275939524353337,0.00873706508293609,0.1630778810814682,0.19493777302123805,0.016558687305231412,OOS
2022,2023-07..2024-06,386,0.1976830870447892,0.14428424444609717,0.05339884259869204,0.1522852602240165,0.24549024927172436,-0.04780716222693515,OOS
2023,2024-07..2025-06,389,0.09169338059895527,0.11911026196401682,-0.027416881365061554,0.11301192832248678,0.14974388419255158,-0.058050503593596314,OOS
